start,Beacon,data
START,,
,1,89
,4,74
,2,45
,1,90
,4,68
,3,57
,2,46
START,,
,1,94
,4,79
,3,60
,2,54
START,,
,1,83
,2,37
,3,70
,4,72
START,,
,1,91
,4,72
,2,46
,3,70
START,,
,1,78
,4,75
,2,38
,3,61
START,,
,1,89
,3,58
,2,46
,4,73
START,,
,1,81
,3,73
,2,45
,4,73
START,,
,1,87
,4,73
,3,66
,2,44
START,,
,1,96
,3,67
,2,63
,4,76
START,,
,1,97
,4,75
,3,75
,2,49
START,,
,1,84
,4,71
,2,54
,3,63
START,,
,1,75
,4,78
,3,69
,2,38
START,,
,1,86
,3,62
,2,43
,4,72
START,,
,1,88
,4,81
,3,65
,2,52
START,,
,1,85
,4,73
,2,54
,3,63
START,,
,1,96
,4,71
,3,60
,2,47
START,,
